Begin IJ Block
1   10   5   28   -0.0000302742
1   10   6   20   0.0002166452
1   10   6   25   0.0016288261
1   10   7   24   -0.0020604628
1   10   8   20   0.0001535986
1   10   8   25   0.0006620092
1   10   9   17   0.0001198480
1   10   9   19   0.0000749560
1   10   9   22   -0.0002493467
1   10   9   27   0.0000433886
1   10   9   29   -0.0000076570
1   10   9   30   0.0001511300
1   10   10   16   -0.0005707265
1   10   10   18   -0.0008346403
1   10   10   21   -0.0007137559
1   10   10   23   -0.0003228848
1   10   10   26   -0.0008765348
1   10   10   28   0.0000250573
1   10   11   20   0.0010961614
1   10   11   25   0.0000664548
1   10   12   24   0.0003429090
1   10   13   20   0.0001232869
1   10   13   25   0.0006039952
1   10   14   24   0.0003416159
1   10   14   25   0.0000000000
1   10   15   24   0.0013225689
2   6   1   16   0.0004777680
2   6   1   18   -0.0017025135
2   6   1   19   -0.0000000000
2   6   1   21   0.0019888465
2   6   1   23   0.0007061743
2   6   1   26   -0.0015762336
2   6   1   28   0.0008104712
2   6   1   29   0.0000000000
2   6   2   17   0.0017096230
2   6   2   19   0.0009499302
2   6   2   22   -0.0039092730
2   6   2   27   0.0006416057
2   6   2   28   -0.0000000000
2   6   2   29   0.0006681613
2   6   2   30   0.0025629302
2   6   3   16   -0.0013181026
2   6   3   18   0.0006239890
2   6   3   21   -0.0025226548
2   6   3   23   -0.0010558088
2   6   3   26   -0.0004709488
2   6   3   28   -0.0009083458
2   6   3   29   -0.0000000000
2   6   3   30   -0.0000000000
2   6   4   16   -0.0000000000
2   6   4   17   0.0008023716
2   6   4   19   0.0005312769
2   6   4   21   -0.0000000000
2   6   4   22   -0.0018706244
2   6   4   23   -0.0000000000
2   6   4   27   0.0002675671
2   6   4   28   -0.0000000000
2   6   4   29   0.0002388067
2   6   4   30   0.0013786070
2   6   5   20   0.0052687668
2   6   5   25   0.0014678854
2   6   6   16   0.0015255767
2   6   6   18   -0.0030176998
2   6   6   19   -0.0000000000
2   6   6   21   0.0046869081
2   6   6   23   0.0016968841
2   6   6   26   -0.0022366471
2   6   6   28   0.0017856037
2   6   6   29   0.0000000000
2   6   7   17   -0.0035137057
2   6   7   18   0.0000000000
2   6   7   19   -0.0019883978
2   6   7   22   0.0080666140
2   6   7   26   -0.0000000000
2   6   7   27   -0.0013127942
2   6   7   28   0.0000000000
2   6   7   29   -0.0013419959
2   6   7   30   -0.0053674065
2   6   8   16   0.0004139761
2   6   8   18   -0.0011530924
2   6   8   19   -0.0000000000
2   6   8   21   0.0014542850
2   6   8   23   0.0006313573
2   6   8   26   -0.0009812226
2   6   8   28   0.0006054845
2   6   8   29   0.0000000000
2   6   9   24   0.0000996400
2   6   10   20   0.0011522533
2   6   10   25   0.0004090256
2   6   11   16   -0.0011985838
2   6   11   18   -0.0009104403
2   6   11   21   -0.0012916218
2   6   11   22   -0.0000000000
2   6   11   23   -0.0006362380
2   6   11   26   -0.0020735590
2   6   11   28   -0.0003216816
2   6   11   29   0.0000000000
2   6   11   30   0.0000000000
2   6   12   17   0.0005509685
2   6   12   19   0.0002720633
2   6   12   22   -0.0012526061
2   6   12   26   0.0000000000
2   6   12   27   0.0002410988
2   6   12   28   -0.0000000000
2   6   12   29   0.0002426742
2   6   12   30   0.0007657396
2   6   13   16   0.0005385027
2   6   13   17   -0.0000000000
2   6   13   18   -0.0010034074
2   6   13   19   -0.0000000000
2   6   13   21   0.0015531105
